iter,score,food,len,pol_loss,val_loss,ent_loss,kl,clip,train_avg_reward
250,677.147,22.583,25.583,-0.00200,587.08354,-0.26399,0.00055,0.0053,2.1520
251,nan,nan,nan,0.01152,604.90400,-0.22202,0.04022,0.1657,2.1846
252,nan,nan,nan,-0.00473,657.39360,-0.16293,0.00219,0.0277,2.3121
253,nan,nan,nan,-0.00429,564.69759,-0.18358,0.00235,0.0319,2.3552
254,nan,nan,nan,-0.00205,582.41763,-0.17681,0.00431,0.0379,2.3348
255,nan,nan,nan,-0.00138,513.10706,-0.15657,0.00082,0.0110,2.3734
256,nan,nan,nan,-0.00174,469.28780,-0.17034,0.00162,0.0228,2.2977
257,nan,nan,nan,-0.00848,450.48976,-0.18221,0.00208,0.0286,2.3808
258,nan,nan,nan,-0.00355,542.66263,-0.20814,0.01010,0.0876,2.4012
259,nan,nan,nan,-0.00679,514.64636,-0.22897,0.00244,0.0325,2.2883
260,610.753,20.750,23.750,-0.00052,484.62902,-0.20873,0.00989,0.0651,2.3288
261,nan,nan,nan,-0.00708,557.01220,-0.19134,0.00064,0.0071,2.3871
262,nan,nan,nan,0.00402,472.38888,-0.21359,0.00578,0.0517,2.3144
263,nan,nan,nan,-0.00174,582.52435,-0.24529,0.00733,0.0794,2.2825
264,nan,nan,nan,-0.00022,541.93880,-0.25567,0.01008,0.0748,2.1034
265,nan,nan,nan,-0.00407,650.44258,-0.21414,0.00322,0.0389,2.2701
266,nan,nan,nan,0.00024,689.54193,-0.20005,0.00071,0.0072,2.3396
267,nan,nan,nan,-0.00329,624.13747,-0.19750,0.00341,0.0458,2.3123
268,nan,nan,nan,0.00904,762.60472,-0.21246,0.00972,0.0855,2.3466
269,nan,nan,nan,0.00769,661.71570,-0.21978,0.01835,0.1130,2.1924
270,659.955,21.917,24.917,-0.00201,855.77369,-0.17765,0.00229,0.0285,2.5341
271,nan,nan,nan,0.00310,686.37856,-0.20689,0.00619,0.0704,2.3701
272,nan,nan,nan,-0.00442,612.62343,-0.22393,0.00080,0.0081,2.2878
273,nan,nan,nan,-0.00097,718.88448,-0.20682,0.00532,0.0530,2.3639
274,nan,nan,nan,0.00118,622.08772,-0.17730,0.00335,0.0373,2.3667
275,nan,nan,nan,0.00123,755.80856,-0.16834,0.00293,0.0381,2.3490
276,nan,nan,nan,0.00389,570.96533,-0.17632,0.00370,0.0386,2.3564
277,nan,nan,nan,-0.00244,655.54640,-0.17514,0.00103,0.0122,2.3896
278,nan,nan,nan,-0.00260,659.75036,-0.18355,0.00135,0.0175,2.3825
279,nan,nan,nan,0.00138,674.86802,-0.20723,0.00509,0.0598,2.3560
280,658.340,22.292,25.292,-0.00016,678.08878,-0.21943,0.00650,0.0555,2.1827
281,nan,nan,nan,-0.00137,775.52749,-0.17677,0.00588,0.0594,2.3322
282,nan,nan,nan,-0.00164,822.17954,-0.14980,0.00212,0.0261,2.4609
283,nan,nan,nan,0.00076,722.82874,-0.15691,0.00160,0.0187,2.4226
284,nan,nan,nan,0.00091,681.68720,-0.17726,0.00316,0.0391,2.3995
285,nan,nan,nan,0.00206,726.85944,-0.20007,0.00156,0.0212,2.3369
286,nan,nan,nan,-0.00326,619.50912,-0.20762,0.00181,0.0246,2.2632
287,nan,nan,nan,0.00088,619.00955,-0.21707,0.00267,0.0358,2.1890
288,nan,nan,nan,-0.00075,685.38261,-0.20217,0.00226,0.0290,2.3217
289,nan,nan,nan,0.00021,806.03915,-0.18507,0.00116,0.0163,2.4001
290,693.904,23.083,26.083,-0.00024,774.14997,-0.19591,0.00035,0.0025,2.3407
291,nan,nan,nan,0.00009,714.88426,-0.18964,0.00096,0.0115,2.3869
292,nan,nan,nan,0.00022,746.36479,-0.19633,0.00113,0.0142,2.3642
293,nan,nan,nan,0.00481,806.13177,-0.18619,0.00980,0.0848,2.2881
294,nan,nan,nan,-0.00132,835.59006,-0.16194,0.00191,0.0221,2.5198
295,nan,nan,nan,0.00112,713.37015,-0.17535,0.00129,0.0178,2.3825
296,nan,nan,nan,-0.00018,652.32427,-0.20087,0.00157,0.0217,2.2604
297,nan,nan,nan,0.00376,755.33960,-0.20364,0.00500,0.0486,2.2086
298,nan,nan,nan,-0.00135,712.72616,-0.18231,0.00049,0.0043,2.3793
299,nan,nan,nan,0.00024,696.25200,-0.18906,0.00052,0.0056,2.2766
300,650.968,21.458,24.458,0.00037,649.50757,-0.19250,0.00220,0.0289,2.2506
301,nan,nan,nan,-0.00131,680.39819,-0.18163,0.00150,0.0189,2.3781
302,nan,nan,nan,0.00354,733.77300,-0.20535,0.00330,0.0393,2.3381
303,nan,nan,nan,0.00073,747.35234,-0.20415,0.00482,0.0511,2.3100
304,nan,nan,nan,0.00247,774.57855,-0.19344,0.00235,0.0302,2.3466
305,nan,nan,nan,-0.00306,808.27214,-0.22550,0.00332,0.0469,2.2971
306,nan,nan,nan,0.00299,786.99810,-0.21237,0.00545,0.0656,2.2258
307,nan,nan,nan,0.00050,898.03047,-0.19455,0.00151,0.0221,2.3788
308,nan,nan,nan,0.00098,801.65071,-0.21512,0.00208,0.0274,2.2859
309,nan,nan,nan,-0.00029,696.79763,-0.20601,0.00114,0.0147,2.3037
310,665.673,22.167,25.167,-0.00350,653.22729,-0.20804,0.00074,0.0082,2.2908
311,nan,nan,nan,0.00272,765.83557,-0.21851,0.00194,0.0269,2.2676
312,nan,nan,nan,0.00067,671.17061,-0.21288,0.00301,0.0424,2.3272
313,nan,nan,nan,0.00344,586.69618,-0.22954,0.01656,0.0922,2.0616
314,nan,nan,nan,-0.00083,751.53879,-0.18830,0.00174,0.0228,2.3281
315,nan,nan,nan,0.00033,729.15046,-0.20174,0.00340,0.0429,2.3097
316,nan,nan,nan,0.00157,717.56619,-0.22199,0.00121,0.0174,2.2131
317,nan,nan,nan,-0.00107,670.26192,-0.21801,0.00276,0.0372,2.2862
318,nan,nan,nan,-0.00224,732.00188,-0.19705,0.00380,0.0486,2.2825
319,nan,nan,nan,-0.00161,691.65954,-0.18414,0.00097,0.0138,2.3398
320,648.414,21.375,24.375,0.00415,820.09270,-0.19036,0.00413,0.0440,2.3934
321,nan,nan,nan,0.00042,673.23190,-0.21105,0.00185,0.0261,2.2682
